,recommand_1,recommand_2,recommand_3,recommand_4,recommand_5
66052431B0,others,KOSE,Purish,LSY,BEAUTYMAKER
70062102F2,BEAUTYMAKER,KOSE,ANGFA,CureQ,LSY
5202020745,Miche Bloomin,DASODA,BEAUTYMAKER,others,KOSE
5201112542,FLOWFUSHI ,Purish,Miche Bloomin,DASODA,LSY
5101196430,BEAUTYMAKER,FLOWFUSHI ,ANGFA,LSY,others
5306760652,Purish,Miche Bloomin,DASODA,ANGFA,FLOWFUSHI 
5607418280,Miche Bloomin,LSY,CureQ,FLOWFUSHI ,ANGFA
67036896C0,LSY,Purish,others,CureQ,ANGFA
5404675862,FLOWFUSHI ,Miche Bloomin,DASODA,LSY,Purish
5102098630,Purish,LSY,ANGFA,others,KOSE
5401162260,Miche Bloomin,DASODA,ANGFA,KOSE,FLOWFUSHI 
5300567655,CureQ,KOSE,LSY,Miche Bloomin,BEAUTYMAKER
5700430994,Miche Bloomin,others,CureQ,ANGFA,LSY
5101363334,Purish,LSY,FLOWFUSHI ,others,KOSE
5300454254,others,DASODA,BEAUTYMAKER,Purish,KOSE
4805610803,DASODA,Purish,FLOWFUSHI ,LSY,ANGFA
5000968424,LSY,CureQ,ANGFA,Miche Bloomin,Purish
65016975A2,Miche Bloomin,Purish,DASODA,others,BEAUTYMAKER
67021096C4,others,Purish,LSY,CureQ,FLOWFUSHI 
65026961A1,ANGFA,KOSE,LSY,CureQ,DASODA
67006674C5,LSY,Purish,others,FLOWFUSHI ,CureQ
5705344194,BEAUTYMAKER,Purish,Miche Bloomin,KOSE,FLOWFUSHI 
5200810141,LSY,Purish,ANGFA,others,FLOWFUSHI 
5005959423,others,BEAUTYMAKER,ANGFA,LSY,FLOWFUSHI 
65035407A3,CureQ,Miche Bloomin,KOSE,BEAUTYMAKER,DASODA
5306812350,Miche Bloomin,CureQ,KOSE,DASODA,ANGFA
5003954520,Miche Bloomin,DASODA,BEAUTYMAKER,KOSE,FLOWFUSHI 
65009356A1,BEAUTYMAKER,others,FLOWFUSHI ,CureQ,Miche Bloomin
4800838500,others,Miche Bloomin,Purish,ANGFA,FLOWFUSHI 
5102085634,Miche Bloomin,DASODA,BEAUTYMAKER,FLOWFUSHI ,ANGFA
5000580425,others,DASODA,Miche Bloomin,LSY,KOSE
5300533754,KOSE,Purish,Miche Bloomin,others,LSY
66007971B3,BEAUTYMAKER,FLOWFUSHI ,others,ANGFA,Purish
70041446F5,FLOWFUSHI ,Purish,Miche Bloomin,KOSE,DASODA
5500740273,DASODA,BEAUTYMAKER,FLOWFUSHI ,Purish,others
5400093365,CureQ,BEAUTYMAKER,LSY,KOSE,others
5403764162,CureQ,DASODA,FLOWFUSHI ,LSY,Purish
67057834C4,ANGFA,Purish,Miche Bloomin,DASODA,BEAUTYMAKER
70024519F1,KOSE,Miche Bloomin,CureQ,DASODA,BEAUTYMAKER
5100973434,BEAUTYMAKER,CureQ,LSY,ANGFA,Purish
5701747092,LSY,FLOWFUSHI ,Purish,CureQ,KOSE
5603547385,DASODA,Miche Bloomin,others,CureQ,Purish
5102462233,LSY,Purish,FLOWFUSHI ,CureQ,ANGFA
5203130242,Miche Bloomin,BEAUTYMAKER,others,ANGFA,LSY
5305761051,DASODA,others,KOSE,BEAUTYMAKER,ANGFA
70013714F1,KOSE,DASODA,Miche Bloomin,BEAUTYMAKER,CureQ
5700227591,DASODA,FLOWFUSHI ,CureQ,ANGFA,Miche Bloomin
5404483963,DASODA,BEAUTYMAKER,Purish,LSY,FLOWFUSHI 
5101285732,DASODA,Miche Bloomin,FLOWFUSHI ,BEAUTYMAKER,ANGFA
