,recommand_1,recommand_2,recommand_3,recommand_4,recommand_5
5507324570,3,12,9,6,13
5403889165,3,8,11,10,4
70042299F0,14,10,8,9,4
5701707794,13,6,4,3,2
5200167545,3,4,13,12,11
65009356A1,5,13,1,4,12
67006674C5,5,9,8,15,10
65016975A2,8,9,14,5,12
4906819116,13,4,3,6,2
5506588770,8,1,13,14,5
5604426883,2,8,1,7,5
5207033541,7,15,8,1,2
5105005930,9,5,14,4,6
4906977515,9,13,11,12,3
5706981391,10,15,12,2,14
5401745665,5,13,10,8,7
5104564930,4,15,6,10,11
5203130242,3,12,9,11,6
5405274762,12,3,6,8,14
4902167012,12,4,8,7,14
5503733772,6,2,4,11,5
66007971B3,4,6,5,2,12
5706770992,7,8,12,13,4
68073242D5,13,6,12,7,10
5404313462,13,4,3,6,2
5706969190,12,2,14,4,6
5300165354,7,5,1,13,3
5600261180,10,5,7,15,14
65026961A1,13,2,3,1,10
66052431B0,9,5,4,11,6
5305803153,5,2,3,1,11
4801696903,4,9,3,6,8
5402119462,11,3,15,10,12
4907094910,13,3,9,6,14
5600737181,15,10,6,2,4
68070089D5,13,2,15,7,5
5102462233,13,14,2,15,10
67068671C4,9,14,10,15,5
70025363F5,1,13,2,9,15
5206925741,9,3,14,13,15
4803019306,11,3,6,12,9
5006964621,1,13,6,4,10
4801541605,12,1,5,14,11
70001425F2,9,4,10,6,12
4803952302,4,12,11,8,9
70030811F4,12,3,14,4,13
5305495251,5,7,2,15,12
66041280B0,3,5,9,4,1
5404719563,8,7,3,5,10
70013714F1,2,15,4,9,11
70047763F2,4,11,10,6,9
5103162430,11,13,15,6,12
65028154A3,13,5,4,8,11
5101285732,12,1,13,15,14
5607418280,13,8,4,15,9
5102929635,4,13,11,2,8
5305931751,13,4,9,5,15
5702485692,11,3,12,2,6
4903286716,7,13,2,4,8
5305841450,13,4,12,2,8
4806970505,10,6,2,12,15
5202020745,3,11,10,7,2
5102757933,12,4,11,6,3
66016135B5,3,1,15,11,6
70006880F4,9,5,4,13,2
6.9002E+12,13,6,14,7,1
5303560750,11,1,7,8,14
4906971915,4,13,5,15,10
65035407A3,1,8,12,9,2
5306812350,14,2,8,7,4
5501147671,13,12,4,14,1
5006919923,11,4,13,3,14
5300567655,9,3,5,14,2
5303610350,11,1,13,8,14
67031996C0,8,11,9,14,7
5600009581,15,8,14,10,9
5000968424,15,11,12,9,14
65069461A3,13,5,8,2,3
5702007895,5,7,13,11,1
68015417D3,13,15,14,4,7
5207127940,9,14,8,7,5
5704685494,15,7,12,2,14
68008623D3,3,8,5,1,13
4906721510,11,7,2,1,9
5501635871,13,9,14,8,4
4902511012,13,4,15,12,3
690035690,4,13,9,2,14
5002178824,2,11,15,1,7
4804482902,9,10,1,15,13
5507118173,11,3,14,6,9
5003331525,5,4,12,3,8
5500704471,12,10,7,2,3
70025923F4,8,5,7,9,14
5000580425,4,12,15,5,6
5301614153,9,13,8,2,5
5401162260,9,15,3,10,8
5705683393,3,12,10,7,8
70052187F0,8,9,1,11,10
6901293200,4,7,12,8,10
67034684C0,6,12,13,14,9
5102149631,15,9,3,12,10
5404675862,8,13,4,1,7
5001814025,11,14,8,15,2
5704243793,1,11,14,8,9
5500055574,7,12,11,3,15
5003293124,7,5,8,9,11
5400647764,4,8,12,11,7
5505079472,11,2,12,6,1
66059996B4,10,14,12,9,4
67071147C0,13,3,1,2,14
6.90315E+11,5,15,1,8,11
66009353B0,13,1,7,3,14
70071215F3,8,9,4,10,7
5203351942,1,10,9,14,11
4805610803,13,11,12,2,15
5605133984,4,3,13,11,5
6907162800,15,8,5,2,10
67036896C0,14,12,6,15,7
5102126932,9,4,5,7,1
5102085634,3,7,12,10,11
690701230,2,13,15,4,1
5503419373,4,8,10,14,12
5707138591,4,15,8,10,12
5303550650,2,10,15,4,3
5300533754,13,4,11,7,10
68051448D1,10,1,7,6,15
5001835620,8,4,14,3,9
4807044006,10,4,2,9,5
5303305152,15,9,4,10,2
5005959423,3,7,2,13,12
5706987290,7,10,8,9,3
5603855285,12,4,9,2,10
5102098630,6,1,4,2,11
5305367252,11,13,15,4,12
65010535A5,2,9,13,4,8
70062102F2,13,10,6,14,11
70013622F0,3,9,1,4,13
5502944074,13,3,14,2,10
68044297D2,14,9,3,7,10
5700227591,13,10,6,15,7
5105843532,3,6,12,1,4
5305889651,13,3,11,8,10
5607014182,10,13,5,9,3
5404483963,7,11,12,6,10
67014735C3,15,12,9,6,4
68020065D2,13,15,5,6,10
5003954520,13,4,3,2,14
5200008940,8,11,4,7,5
5305761051,9,2,15,4,5
4806356300,2,15,1,4,8
5300454254,3,10,15,6,9
5003327523,4,2,7,13,9
5702904694,7,12,15,3,9
5701747092,12,7,1,2,3
5303069951,13,1,8,3,14
5401928462,5,3,13,7,11
70041446F5,13,2,14,5,6
70002714F0,9,7,10,8,5
5400093365,7,3,10,15,2
5205852741,6,12,11,7,3
70069226F1,5,11,10,14,4
65002178A2,3,13,12,1,11
5603477581,6,12,7,3,10
67019399C2,9,14,8,7,2
5502455071,9,4,5,12,14
5505063972,11,4,9,7,8
5104182332,9,8,14,1,10
5104192033,6,11,12,4,9
5503066274,6,12,1,11,3
5100973434,13,8,7,14,1
65037796A3,13,7,1,2,10
5101363334,9,2,5,12,1
5506618770,7,11,8,14,3
66024983B2,9,4,5,14,12
5102030333,13,7,14,2,10
5705344194,3,12,11,6,1
4905160811,15,3,7,10,5
67021096C4,2,13,4,15,1
5407219565,4,15,10,2,9
65047614A0,6,4,12,8,11
4903316115,3,5,11,6,12
5300912555,11,12,2,3,1
5507465074,7,1,3,5,14
5704998292,7,1,5,6,2
5000449324,2,8,4,15,9
4802739705,10,14,3,8,9
66038737B0,12,10,7,9,15
67057834C4,7,2,8,1,3
5301665553,9,12,7,8,13
5101196430,13,4,10,6,11
5300513750,2,7,10,15,1
5207080843,1,2,10,15,6
5701681195,7,1,15,2,12
5301306653,1,14,12,3,9
70005484F1,3,11,6,14,1
5303225353,13,14,12,6,5
70016745F2,12,10,11,1,5
5603547385,4,9,12,8,2
6.90701E+11,3,4,10,6,13
66060094B0,13,3,4,14,7
5703160390,15,13,12,1,2
70070815F3,2,10,1,7,9
6.90445E+11,9,10,8,2,6
4807113801,5,1,13,3,7
5001648520,9,10,1,5,8
70037940F2,12,5,3,6,14
5100922032,1,14,13,9,12
5700858491,7,1,8,3,12
5500921374,13,5,11,15,6
5001504725,6,11,12,9,4
67002815C2,6,12,4,2,10
5704062295,14,3,10,15,12
5006910520,12,6,11,7,4
4807003805,12,9,8,11,5
68025228D1,5,13,3,10,11
5007079925,3,13,7,1,10
4903980012,1,10,15,14,2
5000401823,7,13,15,6,1
5201865945,6,13,12,4,9
5602343884,11,6,3,1,4
5601777584,12,15,9,7,5
5500190271,13,12,4,3,6
5403764162,11,15,3,6,10
5307385454,7,11,15,12,1
65034538A2,10,6,15,11,12
5201112542,7,15,10,9,5
5306760652,2,6,4,13,5
66055727B0,15,13,8,4,10
5500740273,13,7,10,5,14
