category,brand,score
8,ANGFA,3499
13,Miche Bloomin,2430
8,ANGFA,2250
13,Purish,2250
11,KOSE,1999
6,KOSE,1999
13,Miche Bloomin,1800
8,ANGFA,1799
6,KOSE,1749
8,ANGFA,1500
2,KOSE,1490
11,KOSE,1404
13,Miche Bloomin,1350
8,ANGFA,1320
11,KOSE,1299
6,KOSE,1259
6,ANGFA,1240
13,ANGFA,1240
6,KOSE,1199
11,KOSE,1159
13,ANGFA,1080
6,ANGFA,1060
13,Miche Bloomin,1050
6,KOSE,1049
13,ANGFA,1020
6,CureQ,990
1,CureQ,990
13,DASODA,986
11,KOSE,936
13,Purish,900
6,KOSE,899
12,FLOWFUSHI ,893
8,KOSE,864
8,KOSE,850
5,BEAUTYMAKER,820
2,KOSE,799
13,Miche Bloomin,780
8,ANGFA,750
6,KOSE,720
13,Miche Bloomin,700
8,ANGFA,675
13,ANGFA,650
12,FLOWFUSHI ,650
6,KOSE,648
6,KOSE,640
13,ANGFA,620
6,ANGFA,620
6,KOSE,590
2,KOSE,576
10,ANGFA,558
5,others,550
6,KOSE,529
12,BEAUTYMAKER,522
13,FLOWFUSHI ,522
15,DASODA,493
7,KOSE,490
11,KOSE,480
11,KOSE,468
13,Purish,450
4,KOSE,450
4,KOSE,444
6,KOSE,440
8,KOSE,432
6,KOSE,432
9,KOSE,420
6,KOSE,418
13,Miche Bloomin,405
11,KOSE,400
5,BEAUTYMAKER,399
3,LSY,390
13,Miche Bloomin,390
6,BEAUTYMAKER,380
7,BEAUTYMAKER,380
13,Miche Bloomin,350
6,KOSE,348
5,BEAUTYMAKER,347
14,BEAUTYMAKER,342
5,BEAUTYMAKER,342
14,BEAUTYMAKER,329
6,KOSE,328
6,KOSE,324
7,BEAUTYMAKER,324
16,BEAUTYMAKER,320
16,KOSE,315
13,Miche Bloomin,310
4,KOSE,296
9,KOSE,296
6,KOSE,295
2,KOSE,288
9,KOSE,288
9,KOSE,278
13,Miche Bloomin,252
6,KOSE,252
9,KOSE,238
13,Miche Bloomin,225
6,KOSE,225
4,KOSE,216
9,KOSE,210
7,BEAUTYMAKER,199
5,BEAUTYMAKER,199
15,BEAUTYMAKER,199
4,KOSE,199
16,KOSE,198
3,others,189
5,BEAUTYMAKER,180
10,BEAUTYMAKER,149
4,KOSE,148
9,KOSE,148
9,KOSE,138
12,others,109
9,KOSE,99
1,CureQ,59
6,CureQ,59
2,KOSE,35
4,BEAUTYMAKER,1
6,KOSE,1
13,DASODA,1
3,BEAUTYMAKER,0
3,others,0
1,CureQ,0
2,KOSE,0
6,CureQ,0
15,DASODA,0
13,others,0
